layer,hidden_dim,num_pos,num_neg,flagged_count,density,sum_abs_delta,l2_norm_delta,mean_abs_d
27,1536,8,200,59,0.038411458333333336,4771.5859375,182.11172485351562,0.37406817078590393
14,1536,8,200,55,0.035807291666666664,1061.092529296875,40.94470977783203,0.37819766998291016
24,1536,8,200,53,0.034505208333333336,3154.78564453125,108.11029815673828,0.3704022467136383
13,1536,8,200,52,0.033854166666666664,991.0509643554688,38.85249710083008,0.3650798797607422
15,1536,8,200,50,0.032552083333333336,1102.529052734375,43.018367767333984,0.3889920711517334
23,1536,8,200,50,0.032552083333333336,2749.38525390625,96.01831817626953,0.369365930557251
17,1536,8,200,49,0.031901041666666664,1241.36962890625,47.237918853759766,0.3903588056564331
26,1536,8,200,49,0.031901041666666664,4120.37890625,136.8376007080078,0.38235974311828613
11,1536,8,200,48,0.03125,918.9035034179688,34.58440017700195,0.37453365325927734
19,1536,8,200,48,0.03125,1563.42626953125,59.1308479309082,0.37979158759117126
25,1536,8,200,47,0.030598958333333332,3501.19677734375,117.96024322509766,0.37073788046836853
20,1536,8,200,46,0.029947916666666668,1767.7943115234375,64.62721252441406,0.3797081410884857
16,1536,8,200,45,0.029296875,1125.959716796875,43.725101470947266,0.3783688545227051
22,1536,8,200,43,0.027994791666666668,2357.9296875,84.44954681396484,0.3680354356765747
18,1536,8,200,40,0.026041666666666668,1336.875732421875,51.470054626464844,0.3721345365047455
21,1536,8,200,40,0.026041666666666668,2009.3453369140625,71.98597717285156,0.3684524595737457
10,1536,8,200,38,0.024739583333333332,854.261474609375,31.961366653442383,0.365802139043808
12,1536,8,200,38,0.024739583333333332,928.1551513671875,35.448150634765625,0.36863040924072266
9,1536,8,200,32,0.020833333333333332,814.573486328125,30.544572830200195,0.3567626476287842
8,1536,8,200,24,0.015625,706.274169921875,27.5244083404541,0.3238541781902313
3,1536,8,200,21,0.013671875,558.4132690429688,19.962770462036133,0.3213752508163452
4,1536,8,200,21,0.013671875,605.2052001953125,21.954303741455078,0.3089076578617096
7,1536,8,200,19,0.012369791666666666,667.4847412109375,26.162837982177734,0.31429365277290344
6,1536,8,200,18,0.01171875,638.59130859375,23.9991397857666,0.3167894184589386
5,1536,8,200,17,0.011067708333333334,585.2006225585938,21.71653938293457,0.31333279609680176
0,1536,8,200,15,0.009765625,311.6001892089844,11.378120422363281,0.2992308735847473
1,1536,8,200,14,0.009114583333333334,379.4013671875,13.932218551635742,0.307564914226532
2,1536,8,200,13,0.008463541666666666,471.0780029296875,17.143651962280273,0.30881908535957336
