layer,hidden_dim,num_pos,num_neg,flagged_count,density,sum_abs_delta,l2_norm_delta,mean_abs_d
19,3072,16,192,480,0.15625,161.2139434814453,3.9054839611053467,0.2233033925294876
21,3072,16,192,472,0.15364583333333334,210.76080322265625,5.010870933532715,0.22296880185604095
18,3072,16,192,469,0.15266927083333334,149.52467346191406,3.656698703765869,0.22093398869037628
20,3072,16,192,460,0.14973958333333334,189.9841766357422,4.534663200378418,0.22587908804416656
22,3072,16,192,457,0.14876302083333334,232.681396484375,5.458531379699707,0.22240857779979706
24,3072,16,192,443,0.14420572916666666,285.722412109375,6.60423469543457,0.21939973533153534
23,3072,16,192,438,0.142578125,262.73980712890625,6.144378662109375,0.2209567278623581
25,3072,16,192,425,0.13834635416666666,318.7870788574219,7.382051467895508,0.21719570457935333
26,3072,16,192,423,0.1376953125,341.6297607421875,7.921833515167236,0.21397657692432404
27,3072,16,192,414,0.134765625,354.658203125,8.22387409210205,0.21302677690982819
17,3072,16,192,396,0.12890625,129.48016357421875,3.233930826187134,0.21065430343151093
7,3072,16,192,369,0.1201171875,86.84808349609375,2.2632148265838623,0.20262522995471954
6,3072,16,192,344,0.11197916666666667,95.86976623535156,2.4525866508483887,0.20071078836917877
8,3072,16,192,333,0.1083984375,79.90493774414062,2.1136322021484375,0.19709806144237518
16,3072,16,192,326,0.10611979166666667,113.51516723632812,2.8912312984466553,0.197104811668396
9,3072,16,192,315,0.1025390625,77.87159729003906,2.053680658340454,0.19280923902988434
5,3072,16,192,305,0.09928385416666667,99.91250610351562,2.5669472217559814,0.1958278864622116
14,3072,16,192,302,0.09830729166666667,95.36921691894531,2.460543632507324,0.19501931965351105
15,3072,16,192,301,0.09798177083333333,100.97682189941406,2.640289545059204,0.1909492462873459
13,3072,16,192,298,0.09700520833333333,88.2137680053711,2.3083834648132324,0.19217388331890106
4,3072,16,192,295,0.09602864583333333,111.5585708618164,2.8846473693847656,0.19087715446949005
11,3072,16,192,288,0.09375,79.75990295410156,2.078481674194336,0.18803144991397858
10,3072,16,192,284,0.09244791666666667,78.23573303222656,2.046233892440796,0.1914500743150711
12,3072,16,192,283,0.09212239583333333,86.6739501953125,2.236506700515747,0.19333416223526
3,3072,16,192,270,0.087890625,134.64422607421875,3.4058823585510254,0.18757884204387665
1,3072,16,192,264,0.0859375,209.82598876953125,5.027881622314453,0.18431472778320312
0,3072,16,192,240,0.078125,291.6444091796875,6.903226375579834,0.18314576148986816
2,3072,16,192,225,0.0732421875,160.9531707763672,3.9590728282928467,0.18084096908569336
