layer,hidden_dim,num_pos,num_neg,flagged_count,density,sum_abs_delta,l2_norm_delta,mean_abs_d
20,4096,81,127,2184,0.533203125,58.16399383544922,1.1528770923614502,0.470324844121933
21,4096,81,127,2126,0.51904296875,62.250221252441406,1.2779638767242432,0.46315285563468933
19,4096,81,127,2119,0.517333984375,51.52341079711914,1.020556926727295,0.4591330885887146
22,4096,81,127,2061,0.503173828125,70.40481567382812,1.4342601299285889,0.45785224437713623
18,4096,81,127,2015,0.491943359375,47.68547439575195,0.9419980645179749,0.45064693689346313
24,4096,81,127,2015,0.491943359375,83.31065368652344,1.6823681592941284,0.4467201828956604
23,4096,81,127,2014,0.49169921875,74.79078674316406,1.5165013074874878,0.4446854889392853
17,4096,81,127,1884,0.4599609375,41.93678283691406,0.8288297057151794,0.4259566068649292
25,4096,81,127,1855,0.452880859375,87.94441223144531,1.7928822040557861,0.4229847490787506
27,4096,81,127,1758,0.42919921875,113.83280944824219,2.285098075866699,0.40526434779167175
26,4096,81,127,1721,0.420166015625,98.18230438232422,1.9909361600875854,0.4019594192504883
28,4096,81,127,1633,0.398681640625,135.19100952148438,2.681894540786743,0.3877951204776764
29,4096,81,127,1569,0.383056640625,159.8035888671875,3.1874988079071045,0.38172969222068787
16,4096,81,127,1457,0.355712890625,29.4630184173584,0.5815039873123169,0.36328327655792236
30,4096,81,127,1440,0.3515625,192.0615234375,3.8340296745300293,0.3622541129589081
31,4096,81,127,1426,0.34814453125,263.8890686035156,5.207228183746338,0.3607161045074463
15,4096,81,127,1137,0.277587890625,22.047103881835938,0.4368726313114166,0.32709115743637085
14,4096,81,127,553,0.135009765625,8.043228149414062,0.15844646096229553,0.24261996150016785
7,4096,81,127,507,0.123779296875,3.2135515213012695,0.0641264021396637,0.23692548274993896
13,4096,81,127,468,0.1142578125,6.071515083312988,0.12002062797546387,0.22581341862678528
6,4096,81,127,448,0.109375,2.4394946098327637,0.048565056174993515,0.22325249016284943
4,4096,81,127,423,0.103271484375,1.7038345336914062,0.033856939524412155,0.22284366190433502
8,4096,81,127,420,0.1025390625,3.183075189590454,0.06387531012296677,0.22155439853668213
5,4096,81,127,371,0.090576171875,2.222456455230713,0.04378535598516464,0.21948300302028656
9,4096,81,127,371,0.090576171875,3.387619733810425,0.06652932614088058,0.21410885453224182
10,4096,81,127,336,0.08203125,3.6863760948181152,0.07302534580230713,0.20702773332595825
11,4096,81,127,321,0.078369140625,3.8711934089660645,0.07772458344697952,0.20897792279720306
12,4096,81,127,319,0.077880859375,4.0008063316345215,0.07940899580717087,0.2050262689590454
3,4096,81,127,304,0.07421875,1.0260370969772339,0.020127777010202408,0.21008101105690002
2,4096,81,127,101,0.024658203125,0.44471096992492676,0.0088967839255929,0.1635739505290985
1,4096,81,127,70,0.01708984375,0.2630597651004791,0.005171587225049734,0.15962928533554077
0,4096,81,127,52,0.0126953125,0.16216379404067993,0.0032474324107170105,0.1547161489725113
